JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4006,1,1,南,左,1900-01-01 17:31:17,1900-01-01 17:31:50
4006,1,1,南,左,1900-01-01 17:32:44,1900-01-01 17:33:17
4006,1,1,南,左,1900-01-01 17:34:11,1900-01-01 17:34:44
4006,1,1,南,左,1900-01-01 17:35:38,1900-01-01 17:36:11
4006,1,1,南,左,1900-01-01 17:37:05,1900-01-01 17:37:38
4006,1,1,南,左,1900-01-01 17:38:32,1900-01-01 17:39:05
4006,1,1,南,左,1900-01-01 17:39:59,1900-01-01 17:40:32
4006,1,1,南,左,1900-01-01 17:41:26,1900-01-01 17:41:59
4006,1,1,南,左,1900-01-01 17:42:53,1900-01-01 17:43:26
4006,1,1,南,左,1900-01-01 17:44:20,1900-01-01 17:44:53
4006,1,1,南,左,1900-01-01 17:45:47,1900-01-01 17:46:20
4006,1,1,南,左,1900-01-01 17:47:14,1900-01-01 17:47:47
4006,1,1,南,左,1900-01-01 17:48:41,1900-01-01 17:49:14
4006,1,1,南,左,1900-01-01 17:50:08,1900-01-01 17:50:41
4006,1,1,南,左,1900-01-01 17:51:35,1900-01-01 17:52:08
4006,1,1,南,左,1900-01-01 17:53:02,1900-01-01 17:53:35
4006,1,1,南,左,1900-01-01 17:54:29,1900-01-01 17:55:02
4006,1,1,南,左,1900-01-01 17:55:56,1900-01-01 17:56:29
4006,1,1,南,左,1900-01-01 17:57:23,1900-01-01 17:57:56
4006,1,1,南,左,1900-01-01 17:58:50,1900-01-01 17:59:23
4006,1,1,南,左,1900-01-01 18:00:17,1900-01-01 18:00:50
4007,1,2,东,直,1900-01-01 17:00:13,1900-01-01 17:00:46
4007,1,2,东,直,1900-01-01 17:02:13,1900-01-01 17:02:46
4007,1,2,东,直,1900-01-01 17:03:40,1900-01-01 17:04:13
4007,1,2,东,直,1900-01-01 17:05:07,1900-01-01 17:05:40
4007,1,2,东,直,1900-01-01 17:06:34,1900-01-01 17:07:07
4007,1,2,东,直,1900-01-01 17:08:01,1900-01-01 17:08:34
4007,1,2,东,直,1900-01-01 17:09:28,1900-01-01 17:10:01
4007,1,2,东,直,1900-01-01 17:10:55,1900-01-01 17:11:28
4007,1,2,东,直,1900-01-01 17:12:22,1900-01-01 17:12:55
4007,1,2,东,直,1900-01-01 17:13:49,1900-01-01 17:14:22
4007,1,2,东,直,1900-01-01 17:15:16,1900-01-01 17:15:49
4007,1,2,东,直,1900-01-01 17:16:43,1900-01-01 17:17:16
4007,1,2,东,直,1900-01-01 17:18:10,1900-01-01 17:18:43
4007,1,2,东,直,1900-01-01 17:19:37,1900-01-01 17:20:10
4007,1,2,东,直,1900-01-01 17:21:04,1900-01-01 17:21:37
4007,1,2,东,直,1900-01-01 17:22:31,1900-01-01 17:23:04
4007,1,2,东,直,1900-01-01 17:23:58,1900-01-01 17:24:31
4007,1,2,东,直,1900-01-01 17:25:25,1900-01-01 17:25:58
4007,1,2,东,直,1900-01-01 17:26:52,1900-01-01 17:27:25
4007,1,2,东,直,1900-01-01 17:28:19,1900-01-01 17:28:52
4007,1,2,东,直,1900-01-01 17:29:46,1900-01-01 17:30:19
4007,1,2,东,直,1900-01-01 17:31:13,1900-01-01 17:31:46
4007,1,2,东,直,1900-01-01 17:32:40,1900-01-01 17:33:13
4007,1,2,东,直,1900-01-01 17:34:07,1900-01-01 17:34:40
4007,1,2,东,直,1900-01-01 17:35:34,1900-01-01 17:36:07
4007,1,2,东,直,1900-01-01 17:37:01,1900-01-01 17:37:34
4007,1,2,东,直,1900-01-01 17:38:28,1900-01-01 17:39:01
4007,1,2,东,直,1900-01-01 17:39:55,1900-01-01 17:40:28
4007,1,2,东,直,1900-01-01 17:41:22,1900-01-01 17:41:55
4007,1,2,东,直,1900-01-01 17:42:49,1900-01-01 17:43:22
4007,1,2,东,直,1900-01-01 17:44:16,1900-01-01 17:44:49
4007,1,2,东,直,1900-01-01 17:45:43,1900-01-01 17:46:16
4007,1,2,东,直,1900-01-01 17:47:10,1900-01-01 17:47:43
4007,1,2,东,直,1900-01-01 17:48:37,1900-01-01 17:49:10
4007,1,2,东,直,1900-01-01 17:50:04,1900-01-01 17:50:37
4007,1,2,东,直,1900-01-01 17:51:31,1900-01-01 17:52:04
4007,1,2,东,直,1900-01-01 17:52:58,1900-01-01 17:53:31
4007,1,2,东,直,1900-01-01 17:54:25,1900-01-01 17:54:58
4007,1,2,东,直,1900-01-01 17:55:52,1900-01-01 17:56:25
4007,1,2,东,直,1900-01-01 17:57:19,1900-01-01 17:57:52
4007,1,2,东,直,1900-01-01 17:58:46,1900-01-01 17:59:19
4007,1,2,东,直,1900-01-01 18:00:13,1900-01-01 18:00:46
4007,1,4,北,左,1900-01-01 17:00:46,1900-01-01 17:01:19
4007,1,4,北,左,1900-01-01 17:02:46,1900-01-01 17:03:19
4007,1,4,北,左,1900-01-01 17:04:13,1900-01-01 17:04:46
4007,1,4,北,左,1900-01-01 17:05:40,1900-01-01 17:06:13
4007,1,4,北,左,1900-01-01 17:07:07,1900-01-01 17:07:40
